,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100
G1,1.0000000000000002,0.2419278069070286,0.1691589459930983,0.39873500770079084,0.26637515481241897,0.3339007691518775,0.18141721638543326,0.40161764808395983,0.2242607885375102,0.24747137414290585,0.18442997022693153,0.21430315183350468,0.1792186409154778,0.21211059999740486,0.2873696150387256,0.23268153718341117,0.1967090815801489,0.40480445099330803,0.26334608882096194,0.44138018092850106,0.23888157723982528,0.2604819691207842,0.2066981579300332,0.28780107850005465,0.21032821773863594,0.23878352921252471,0.25499571179161556,0.2563146944518041,0.20041370164363556,0.24453968417007405,0.2757764092034012,0.23892963675921822,0.237367074101302,0.21894456502707818,0.32056308785048526,0.3485279350247964,0.3058431365182663,0.317001724433214,0.2999604122343512,0.37747792286727094,0.22716947857328942,0.24054787880250206,0.26548428686215086,0.22027998895380455,0.1729466443831202,0.2871113882576944,0.2416304984750806,0.21276993802602867,0.25647787417067197,0.2448209871616354,0.23275202306091775,0.26204381091154555,0.24464461183173117,0.26573453136764164,0.24958476496143753,0.1879620897557707,0.20845854944808648,0.1892678299964217,0.2617029828974434,0.27488950364943937,0.33331593833080525,0.39752565015863783,0.21713454756113648,0.23630752426182583,0.1966108424915392,0.16987118147004235,0.2725431700167805,0.3193295162100766,0.21929213645573734,0.21976767883063195,0.22836295753856184,0.16967895693968318,0.2032046038443025,0.21599797012827718,0.3124978748753183,0.1919493087830459,0.2291154389510455,0.2665626604324806,0.27093234964322305,0.24480754280164524,0.23919565088130695,0.22278471930891464,0.28445909441161404,0.21173776633642785,0.25472046064137394,0.20695710473495443,0.2647118332283186,0.2690038427579128,0.3680874778742839,0.23600015683977016,0.32870296681992794,0.22655717824217297,0.2263537955264168,0.2183724702029363,0.20242896635491062,0.21240553448331692,0.27069431336356853,0.23298535678591237,0.22548832688562442,0.22030207951105854
G2,0.2419278069070286,1.0000000000000002,0.17589091413263483,0.21872597953255088,0.3008646397244397,0.205274257502829,0.20601407943426675,0.3827854425575134,0.2544048433537373,0.21704030067873464,0.19482706307317318,0.21038395824915954,0.3043325619384318,0.2211557311386359,0.24822537298965794,0.19398358747078231,0.2595091575535151,0.24661884366795414,0.2511582725604318,0.2972984417013458,0.18485601913704464,0.19868096187493253,0.2045466017698439,0.24052830277232876,0.3072891093106833,0.2686033145084709,0.24433166734831901,0.20973866826600707,0.29114481652296875,0.22620604948602613,0.21730181164400683,0.25850744255266894,0.24863334200937925,0.2721477378727452,0.2852002875805325,0.2105626114027273,0.23958854709598598,0.17735246770076676,0.23719900195343827,0.22935973199485643,0.22023374384865796,0.2261198640638072,0.37839628353787413,0.2764820468692653,0.2070116217324048,0.23841513768697012,0.19529272747607437,0.20254187142226063,0.22714817242905125,0.24338753012902195,0.23495406155694187,0.25083409174203697,0.26610655841881603,0.2118815386358719,0.2661483002256139,0.23123633458941326,0.21704969793556,0.2728130464921401,0.23753198593344235,0.27363086447762547,0.22368206244855557,0.20187532990760096,0.23469257131045848,0.21063495901522125,0.2236359495885183,0.21054377957093492,0.20648728724946108,0.2213192086353971,0.2507594188868524,0.20558517777255014,0.23157346986733093,0.23138866657022422,0.2505635179845057,0.20560375079906168,0.24827490251487372,0.19139316140678292,0.25064737395132647,0.20928980491957921,0.22453192355604915,0.241023329170832,0.23848275388943288,0.18428357229729364,0.2490350857897248,0.21633190854107592,0.2833293116599259,0.2381385530139743,0.32205782581686565,0.21547334784757508,0.2294109823408061,0.28862361941577,0.2463793679121227,0.2145091540042019,0.2098908859019148,0.24337882319184057,0.22676529590342517,0.227668135230624,0.2363250356189146,0.26686208231175007,0.2066372685337884,0.24659428258836194
G3,0.1691589459930983,0.17589091413263483,1.0000000000000002,0.22021772059332728,0.2040384718003719,0.20599179895770336,0.17189222732639836,0.20337450928563133,0.20887628772476916,0.22171202862221248,0.22562730391192226,0.20380202940617978,0.2115565819397596,0.2038367231299924,0.23999322589879324,0.19619608953617412,0.20315674784714735,0.20049447013732183,0.20341442923189063,0.17601698910391858,0.18736625199897727,0.2076413195354538,0.21536732271191603,0.20804009314976585,0.21496037705298432,0.19446271556102676,0.26454213778237035,0.2032243726652915,0.20519316651139197,0.19354713162079598,0.2013090940962565,0.17123165333226018,0.21565379863168846,0.20359633081710682,0.20568048126054805,0.2242149478959604,0.20934912234517186,0.195838033932114,0.19629982359853654,0.2201343505811847,0.21022205541228334,0.2331885746063089,0.2047344196625177,0.19536449225725866,0.2557381525528963,0.22300572647071523,0.2740064370909922,0.21519848907435304,0.23086807856796254,0.18583005908538158,0.20767380115677603,0.15773686917626828,0.19089874952265007,0.17591119868373364,0.21322667830856515,0.25808571327718827,0.207223618663446,0.23428779716420944,0.22317400587665953,0.21491014324687846,0.20027927391372718,0.225098681356497,0.20835949720879873,0.22423586830977263,0.1842409862791946,0.17408382700145877,0.19800434906567618,0.17161046357243648,0.23620183706713374,0.19448925358480298,0.22936734352302418,0.20809231974849857,0.19749929167729088,0.2474607029276742,0.18180817498481144,0.2476459896746224,0.2291119301166483,0.23050395493540893,0.21755652377930357,0.23461566959332592,0.22015479293515502,0.17680826613622522,0.2449577680967219,0.24197426975754932,0.22603443666391723,0.1869159989210108,0.21409629260027166,0.23002075562537824,0.18893478975980246,0.22429887172169488,0.22100640752961193,0.21708609109385335,0.2359994715153379,0.18373455615450218,0.20265381824021264,0.21374671948137647,0.23372518648756785,0.19659683422777827,0.18870000106388113,0.1855821979407666
G4,0.39873500770079084,0.21872597953255088,0.22021772059332728,1.0000000000000002,0.2948895245237025,0.4061049973864344,0.24502408294812905,0.38740028850045155,0.21245518665531324,0.24649210779638353,0.23940282847548197,0.17453099179219259,0.28523200271826915,0.22014405330979256,0.23541078197160534,0.23597419417566895,0.24767638433976208,0.37905471257243206,0.22132973010570145,0.38909427676302455,0.2374338492092866,0.2370476300793667,0.24366854966854737,0.32725798458397964,0.30707891665699766,0.1906255995247266,0.24943662568441774,0.2417784614555924,0.3171987869037988,0.22389082779403502,0.2444185157173325,0.24014595859682733,0.24366975395962928,0.20625669540275735,0.3452379029714157,0.2298124393007084,0.32847741828613564,0.31291066254818906,0.2916352998728273,0.3860681855694097,0.228227885390259,0.22264063371604081,0.2732682264972661,0.30277906123328135,0.30470975562030433,0.2951383222469281,0.21351816947177568,0.20956631720501287,0.2535696684973462,0.21293517602881468,0.2589046595011011,0.21756448550317442,0.2937845569589178,0.18033856570688692,0.23989762620303862,0.20538592845831244,0.3128156699264014,0.23474166537465269,0.28077221175382333,0.22965236095696384,0.26905653544165786,0.3909287275727485,0.273147631396564,0.19068762262210853,0.21341028861876657,0.17113613407342113,0.18991921270916934,0.23101625956851937,0.23320468651354254,0.19719807936903455,0.3061966841533929,0.22869232336735207,0.2324889477001961,0.20867407904059354,0.31703799229371893,0.20948607089072985,0.24623805395669462,0.28609470911153717,0.2605694781228106,0.284953782212212,0.21904002875151302,0.20435358620575084,0.23353429840537698,0.194941430843535,0.3244811816860755,0.24972713603723565,0.26372719361118546,0.23998348464245373,0.41062191518446706,0.36498298430111276,0.439549122904141,0.24603894185697178,0.23349606423285327,0.27027973182082893,0.3222532924458225,0.28354530145475393,0.24148508404868915,0.29421839576165887,0.21625544539250055,0.23311179871070437
G5,0.26637515481241897,0.3008646397244397,0.2040384718003719,0.2948895245237025,1.0000000000000002,0.24698478539439545,0.29602223697282737,0.2771314922092379,0.21062106923578403,0.2704319287745685,0.23692249183074518,0.2865612366243147,0.3430903798803628,0.25424602573519584,0.26143038473287755,0.27342355560923404,0.21337299405493035,0.2944899119785905,0.2667985179826124,0.40113949938869775,0.2300601409050684,0.23208945004716378,0.2542969677675386,0.30125523375671404,0.30377492500734943,0.3077895170215412,0.26421727423030905,0.2360407005482304,0.2891035871786144,0.2521959996931457,0.2304074395023365,0.20502164799871658,0.19564614442367967,0.27292658323775115,0.25494339320400894,0.33023274340557485,0.24042009162756606,0.3550187039474797,0.24797580811294198,0.3513205320218709,0.2931745927964007,0.22180771471230476,0.26353940379794116,0.21436390997347934,0.21136476299356463,0.25326704072255213,0.22881368916122788,0.23730281613986196,0.2728329749386217,0.2284937443351481,0.23711415510546496,0.2410346585189108,0.20779168240217274,0.18652870900720264,0.28300979250344227,0.24619473484129328,0.22937225090842916,0.27377392654066723,0.3021839952969774,0.251641114805715,0.2797017231905711,0.3564597738285865,0.23443262040696544,0.2202274728552138,0.22554613751111643,0.2566929173453422,0.22225668996984646,0.2029728986725541,0.19807607272304173,0.2518940103273965,0.297199186545246,0.22704201431077045,0.22162933608595986,0.23381379628266755,0.30369744093417866,0.2204778918011287,0.22510525141724855,0.2443761881514836,0.28850310321440537,0.266472576698695,0.25190113432003464,0.2582714745111907,0.2546060042126847,0.18488185229405385,0.29286153553960853,0.19606379214965317,0.2616086813320133,0.25109597841242126,0.22850103248566295,0.32253041304064894,0.3640859056764944,0.23316677166675762,0.2189749862132137,0.19421555506326488,0.28689979982072344,0.33452786557457276,0.24763932136709957,0.32877785797124004,0.21142173547215992,0.25251518997870737
G6,0.3339007691518775,0.205274257502829,0.20599179895770336,0.4061049973864344,0.24698478539439545,1.0000000000000002,0.19793401274655015,0.3307435406938127,0.30554548491968814,0.2340865465195928,0.1980020074287625,0.2753658227630765,0.27900877608011015,0.28851763890817944,0.26009289103123245,0.2431513459509802,0.2735015416373497,0.31966100292656446,0.23647221337070076,0.37195405075919385,0.20002971977293318,0.2566414815958999,0.25756702671849063,0.36568747507699545,0.3256349612584456,0.24632514032273536,0.2476795614529192,0.16746607132855165,0.4091421943816422,0.2925782275669633,0.25484498539057115,0.24019410026364488,0.262958736050952,0.2797525634246355,0.30225839856604114,0.2391367228073764,0.2379131139216883,0.251533000499459,0.24053943513658316,0.24987731456207696,0.21533017477351643,0.20824490851323274,0.2456622069079003,0.30061918349105843,0.23779056685751201,0.24004701209770415,0.2336955378096436,0.19996668685958838,0.2764898323336809,0.24743330649283077,0.23303731642423145,0.23274173746453208,0.28258327684457096,0.25947315167254914,0.3060885235164663,0.2509800603249034,0.30491407626504835,0.1842546065913164,0.21532104442261957,0.363556581691376,0.23876130656872266,0.23273707538049712,0.2706174153536697,0.20161223942607528,0.22073363712813313,0.2545017364409756,0.19994388203374971,0.1887716865535268,0.22569350537796745,0.26427900850035985,0.2524556364832926,0.2577100452660346,0.2722533422125046,0.2259553360262606,0.3648018242147554,0.19124649680301328,0.2252159727795774,0.32970311718917117,0.20760013176490022,0.29938733872721635,0.20174465812733836,0.2458737235498248,0.33964266894074424,0.19622066654018494,0.2931473793302958,0.3645102917805671,0.30260908742107673,0.32244259372256506,0.5968531274037902,0.3276676440887199,0.3887233478613719,0.19694012932413665,0.2583969717313927,0.21081420591779956,0.2180342380815399,0.2754704870247212,0.20184801533370048,0.3015505396789116,0.19664433108673995,0.25880823245314577
G7,0.18141721638543326,0.20601407943426675,0.17189222732639836,0.24502408294812905,0.29602223697282737,0.19793401274655015,1.0000000000000002,0.18812903362109984,0.21594728742413347,0.23102486341176656,0.23785357226183437,0.23164763143855427,0.24374310095592122,0.2047303859517576,0.1810082745890541,0.2984143157752543,0.17804634683858814,0.2496115654608995,0.21861008916326927,0.2134113776474546,0.22279063806482063,0.2698918523149288,0.1909019213608654,0.22556815092279076,0.2167383495646376,0.26063974344488966,0.22625106720710744,0.2199038779645135,0.235078378128933,0.20893838119123345,0.2484901359490177,0.22154460892198774,0.21870858699871057,0.27499647952786926,0.24088386528771244,0.33174539136946335,0.21280102801429768,0.2579443082394637,0.22630539118212795,0.21427354964932996,0.21213632334664828,0.25938608720030937,0.23333699829266172,0.19728284101093788,0.20897901923986087,0.23738665219619068,0.21210021521053227,0.2112946122807977,0.23537403576870927,0.21359574832832423,0.19575475076546248,0.2234246209835624,0.22351664479340608,0.23047173772515925,0.26583185080343275,0.20183591619171773,0.2034019894260109,0.2377833347254055,0.22423272193130486,0.2766365915575394,0.28046942066571834,0.2386861915192462,0.18827095498213614,0.2399224286846451,0.21306778535845405,0.25659260190952815,0.20856640491456152,0.2114237673189274,0.21799705959595408,0.2021465849528462,0.20946118123246796,0.2056697006811268,0.22383541296979212,0.19814120918613126,0.22236523875973474,0.23521387914985906,0.20777408917757464,0.27419031307539277,0.20462804598951256,0.2420006684094546,0.24158302589452513,0.25221526681995315,0.2323514011035677,0.21311652341368692,0.22817618168570722,0.24080651205747144,0.26730325948062195,0.2634888420856755,0.25468276231987635,0.22680886342097756,0.22462408681030918,0.24164256455896943,0.18591050982420465,0.19529758515164355,0.2876819240056056,0.25731540634257566,0.2337069580649595,0.22714734300798817,0.24288819287802074,0.2008755309870621
G8,0.40161764808395983,0.3827854425575134,0.20337450928563133,0.38740028850045155,0.2771314922092379,0.3307435406938127,0.18812903362109984,1.0000000000000002,0.30199096725770286,0.2510096032596067,0.23393106319778836,0.2657813385709227,0.22378068985102512,0.24195955673543573,0.2835407758867773,0.2031547493225148,0.22710562846162316,0.3365044675555189,0.22475518619940543,0.5212542437916357,0.20788737409943545,0.27846458908407984,0.20569275521525024,0.33204771476987904,0.3174083293862638,0.22280693212587865,0.24627482101148856,0.22805411937417364,0.41685114723493844,0.24884914185490503,0.2536436542707806,0.25056334477419784,0.273369091677259,0.23666369539678406,0.2920180567718888,0.2801171998293867,0.32652176225258617,0.2552206940923448,0.2648668963997868,0.2890929715946145,0.30777169991123837,0.2034155022571725,0.3840923746729955,0.2471480358014254,0.20137111379032724,0.2962006761278648,0.21381296640644679,0.22591180589757004,0.265584246648297,0.22080900214696564,0.24906976500979872,0.23485004807712867,0.3257433778101493,0.27665484575759,0.2648589998923042,0.2280630137602155,0.21700368574162437,0.20723763175075838,0.25878752755741163,0.37041669842225267,0.3245715729489141,0.3801534625707213,0.20196861490899182,0.2986965042916772,0.2278302369743409,0.21916345263082326,0.2168515734232573,0.22233065883168676,0.2895104661409298,0.2654678783004103,0.22685583657086025,0.2748795358555914,0.27178674537123204,0.22195936212429726,0.31778486033570225,0.21383627760843407,0.29656981748868777,0.3067668007862743,0.1996949490234875,0.2589448210165978,0.21169492891123864,0.23389003247359258,0.25663110885363594,0.25354169669222026,0.2824709077656193,0.2522024483086309,0.279594435009414,0.2530118990619038,0.40416702903471424,0.2715241866571095,0.31412644057458233,0.2339483922343416,0.27285327244446106,0.2464516144949647,0.3221143490009256,0.22527109662772737,0.2532818501957572,0.33105339126188343,0.2418165519723321,0.19971789466754095
G9,0.2242607885375102,0.2544048433537373,0.20887628772476916,0.21245518665531324,0.21062106923578403,0.30554548491968814,0.21594728742413347,0.30199096725770286,1.0000000000000002,0.2604638989898963,0.37711311236243744,0.34906711016112374,0.4069979043267621,0.3364602107042124,0.26128885338960545,0.2989833431812202,0.22023508893297805,0.19682085792057247,0.31033061212256496,0.21491566548172408,0.2901569596046324,0.23091849419377242,0.23366469175963217,0.2175250848502925,0.2388540144692851,0.23451049713352567,0.2354346961210625,0.19448008398095554,0.4185153446741273,0.25385856311516364,0.2126686209710443,0.38630745652417137,0.31729965703421115,0.23952578034155034,0.3088507830564229,0.24151832784867203,0.20953980768524927,0.26679407517222337,0.23760447459372594,0.2184110521945109,0.26288300813977045,0.2717001928082246,0.260952907864401,0.23901751839425667,0.23285203681642258,0.3327390964253198,0.22621817194247137,0.29188401264089764,0.2851141790637516,0.19894141250940806,0.27746518996636876,0.23926813841904165,0.41187800946930253,0.32397676826214195,0.24573921648795874,0.22514120235502372,0.20672435490403313,0.20444328632570002,0.22641279637088443,0.2526037369575813,0.23803936202955883,0.22054018767214248,0.1822759649695346,0.274191069484377,0.28683997377469633,0.23142140636767305,0.2997591098917715,0.2966809459338728,0.21593053201307436,0.27087485291728275,0.22365134655239782,0.21916705854598628,0.2640226437623951,0.21685230722036752,0.25676385773704463,0.23543863066478407,0.2249213408658537,0.28994079381982807,0.18504067257623216,0.30928996556681765,0.19465188051319,0.22388870951266782,0.3347136660357452,0.23079535091776698,0.2400363675663192,0.3152619425398601,0.3015566545233139,0.2255709524033344,0.29936535029962497,0.21669434213685518,0.22306118480547701,0.23818266337674268,0.2710414688128303,0.24980011448606082,0.2645499531121948,0.23919187754759116,0.25339642700989307,0.23396189207271045,0.24987883008773398,0.28942382394842486
G10,0.24747137414290585,0.21704030067873464,0.22171202862221248,0.24649210779638353,0.2704319287745685,0.2340865465195928,0.23102486341176656,0.2510096032596067,0.2604638989898963,1.0000000000000002,0.25618238631832924,0.3268510672152278,0.3099185141955255,0.2136161193403766,0.24625285522864862,0.28277111849954667,0.278129427278038,0.20574070064510383,0.2900781293648589,0.19088175126814141,0.2360182314003418,0.25583975467544434,0.20160108209325872,0.23278380908459237,0.21098078578301235,0.2515684985748346,0.2373522649087267,0.22893645943097024,0.2761424138110016,0.2003529754381839,0.29240814402274756,0.24868947559594914,0.33624567382306686,0.26298194384931955,0.2531669856835571,0.26709450438091664,0.28961021132597536,0.27433096681563146,0.1993725610330568,0.2682565573658838,0.20554026097475597,0.2666649674995133,0.23942633735720958,0.20194770879681428,0.2564119110912841,0.2644244081572065,0.18519744671849242,0.260816217187391,0.2742805260413561,0.24790548669208498,0.27397651350032437,0.26977894394358437,0.2927444636938065,0.31289389746264673,0.31651463344262076,0.2395594257514741,0.2474641846308074,0.22281459621430857,0.2725655169889999,0.2505611331573543,0.27181036331461894,0.27081365557652953,0.26330054471947134,0.29626481343516814,0.22411578609146965,0.28298247224611256,0.31416758253837307,0.32582738454436116,0.25022713561660404,0.21654751711185402,0.2324207087105923,0.1958005801189857,0.25172298021820216,0.23325932880580216,0.27207413408079284,0.2426952925982644,0.2421667974228333,0.2081195567190513,0.2538555574474543,0.2293872515193496,0.2225375720738973,0.23765588136771923,0.22116403338818982,0.2231316595809036,0.27826165329864705,0.29622747401112237,0.2404220433569615,0.3416730190347542,0.1971242908754553,0.2188240831618672,0.21132122272929796,0.23918153739011933,0.24029429224687318,0.27389222269140723,0.21970486784090795,0.30222711246815254,0.2276023242593411,0.2076238516106112,0.3017125874749202,0.28706441355703793
